STRUCT,Info,3
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,
CPU clock:,1.399970581 GHz,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47
Region Info,HWThread 0,
RDTSC Runtime [s],0.134152,
call count,1,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,4625352
CPU_CLK_UNHALTED_CORE,FIXC1,6781463
CPU_CLK_UNHALTED_REF,FIXC2,6329470
EDC_RPQ_INSERTS,EDBOX0C0,241626
EDC_RPQ_INSERTS,EDBOX1C0,216490
EDC_RPQ_INSERTS,EDBOX2C0,241697
EDC_RPQ_INSERTS,EDBOX3C0,215885
EDC_RPQ_INSERTS,EDBOX4C0,241283
EDC_RPQ_INSERTS,EDBOX5C0,215436
EDC_RPQ_INSERTS,EDBOX6C0,242034
EDC_RPQ_INSERTS,EDBOX7C0,216728
EDC_WPQ_INSERTS,EDBOX0C1,56736
EDC_WPQ_INSERTS,EDBOX1C1,51747
EDC_WPQ_INSERTS,EDBOX2C1,57085
EDC_WPQ_INSERTS,EDBOX3C1,51408
EDC_WPQ_INSERTS,EDBOX4C1,56829
EDC_WPQ_INSERTS,EDBOX5C1,51561
EDC_WPQ_INSERTS,EDBOX6C1,57029
EDC_WPQ_INSERTS,EDBOX7C1,51084
EDC_MISS_CLEAN,EUBOX0C0,5212
EDC_MISS_CLEAN,EUBOX1C0,5197
EDC_MISS_CLEAN,EUBOX2C0,5215
EDC_MISS_CLEAN,EUBOX3C0,5203
EDC_MISS_CLEAN,EUBOX4C0,5193
EDC_MISS_CLEAN,EUBOX5C0,5207
EDC_MISS_CLEAN,EUBOX6C0,5195
EDC_MISS_CLEAN,EUBOX7C0,5199
EDC_MISS_DIRTY,EUBOX0C1,269
EDC_MISS_DIRTY,EUBOX1C1,226
EDC_MISS_DIRTY,EUBOX2C1,256
EDC_MISS_DIRTY,EUBOX3C1,233
EDC_MISS_DIRTY,EUBOX4C1,259
EDC_MISS_DIRTY,EUBOX5C1,208
EDC_MISS_DIRTY,EUBOX6C1,248
EDC_MISS_DIRTY,EUBOX7C1,219
MC_CAS_READS,MBOX0C0,32800
MC_CAS_WRITES,MBOX0C1,306
MC_CAS_READS,MBOX1C0,32787
MC_CAS_WRITES,MBOX1C1,325
MC_CAS_READS,MBOX2C0,32802
MC_CAS_WRITES,MBOX2C1,331
MC_CAS_READS,MBOX4C0,32795
MC_CAS_WRITES,MBOX4C1,312
MC_CAS_READS,MBOX5C0,32757
MC_CAS_WRITES,MBOX5C1,330
MC_CAS_READS,MBOX6C0,32833
MC_CAS_WRITES,MBOX6C1,314
TABLE,Region MMUL_Region,Group 1 Metric,HBM_CACHE,16
Metric,HWThread 0,
Runtime (RDTSC) [s],0.1342,
Runtime unhalted [s],0.0048,
Clock [MHz],1499.9437,
CPI,1.4662,
MCDRAM Memory read bandwidth [MBytes/s],852.8340,
MCDRAM Memory read data volume [GBytes],0.1144,
MCDRAM Memory writeback bandwidth [MBytes/s],112.9255,
MCDRAM Memory writeback data volume [GBytes],0.0151,
MCDRAM Memory bandwidth [MBytes/s],965.7595,
MCDRAM Memory data volume [GBytes],0.1296,
DDR Memory read bandwidth [MBytes/s],93.8755,
DDR Memory read data volume [GBytes],0.0126,
DDR Memory writeback bandwidth [MBytes/s],0.9150,
DDR Memory writeback data volume [GBytes],0.0001,
DDR Memory bandwidth [MBytes/s],94.7905,
DDR Memory data volume [GBytes],0.0127,
